id_commune;commune_gironde;kilometrage_bordeaux
1;Abzac;58
2;Aillas;71
3;Ambarès-et-Lagrave;15
4;Ambès;29
5;Andernos-les-Bains;48
6;Anglade;67
7;Arbanats;31
8;Arcachon;66
9;Arcins;36
10;Arès;50
11;Arsac;25
12;Artigues-près-Bordeaux;15
13;Arveyres;30
14;Asques;30
15;Aubiac;55
16;Audenge;49
17;Auriolles;70
18;Auros;59
19;Avensan;31
20;Ayguemorte-les-Graves;24
21;Bagas;83
22;Baigneaux;40
23;Balizac;54
24;Barie;66
25;Baron;2
26;Barsac;83
27;Bassanne;74
28;Bassens;12
29;Baurech;25
30;Bayas;52
31;Bayon/Gironde;44
32;Bazas;68
33;Beautiran;26
34;Bégadan;71
35;Bègles;6
36;Béguey;43
37;Belin-Beliet;45
38;Bellebat;34
39;Bellefond;33
40;Belvès-de-Castillon;58
41;Bernos-Beaulac;66
42;Berson;43
43;Berthez;51
44;Beychac-et-Caillau;24
45;Bieujac;59
46;Biganos;46
47;Birac;75
48;Blaignac;73
49;Blaignan-Prignac;67
50;Blanquefort;11
51;Blasimon;57
52;Blaye;51
53;Blésignac;36
54;Bommes;48
55;Bonnetan;17
56;Bonzac;52
57;Bordeaux;
58;Bossugan;61
59;Bouliac;11
60;Bourdelles;78
61;Bourg;40
62;Bourideys;77
63;Brach;39
64;Branne;42
65;Brannens;58
66;Braud-et-St-Louis;67
67;Brouqueyran;54
68;Bruges;6
69;Budos;42
70;Cabanac - Villagrains;36
71;Cabara;45
72;Cadarsac;32
73;Cadaujac;13
74;Cadillac-en-Fronsadais;29
75;Cadillac-sur-Garonne;42
76;Camarsac;24
77;Cambes;19
78;Camblanes-et-Meynac;7
79;Camiac-et-Saint-Denis;30
80;Camiran;68
81;Camps-sur-l'Isle;62
82;Campugnan;54
83;Canéjan;13
84;Capian;32
85;Caplong;75
86;Captieux;87
87;Carbon-Blanc;12
88;Carcans;49
89;Cardan;32
90;Carignan-de-Bordeaux;14
91;Cars;48
92;Cartelègue;53
93;Casseuil;59
94;Castelmoron-d'Albret;58
95;Castelnau-de-Médoc;29
96;Castelviel;50
97;Castets et Castillon;56
98;Castillon-la-Bataille;47
99;Castres-Gironde;24
100;Caudrot;55
101;Caumont;48
102;Cauvignac;64
103;Cavignac;38
104;Cazalis;79
105;Cazats;50
106;Cazaugitat;56
107;Cénac;15
108;Cenon;9
109;Cérons;39
110;Cessac;44
111;Cestas;18
112;Cézac;37
113;Chamadelle;65
114;Cissac-Médoc;53
115;Civrac-de-Blaye;41
116;Civrac-en-Médoc;67
117;Civrac-sur-Dordogne;39
118;Cleyrac;53
119;Coimères;53
120;Coirac;46
121;Comps;41
122;Coubeyrac;60
123;Couquèques;71
124;Courpiac;42
125;Cours-de-Monségur ;72
126;Cours-les-Bains;76
127;Coutras;51
128;Coutures;63
129;Créon;26
130;Croignon;23
131;Cubnezais;35
132;Cubzac-les-Ponts;22
133;Cudos;64
134;Cursan;25
135;Cussac-Fort-Médoc ;39
136;Daignac;22
137;Dardenac;38
138;Daubèze;48
139;Dieulivol;98
140;Donnezac;62
141;Donzac;48
142;Doulezon;63
143;Escaudes;88
144;Escoussans;50
145;Espiet;31
146;Étauliers;61
147;Eynesse;73
148;Eyrans;54
149;Eysines;8
150;Faleyras;38
151;Fargues;52
152;Fargues-Saint-Hilaire;15
153;Flaujagues;61
154;Floirac;7
155;Floudès;77
156;Fontet;73
157;Fossès-et-Baleyssac;83
158;Fours;54
159;Francs;62
160;Fronsac;40
161;Frontenac;45
162;Gabarnac;50
163;Gaillan-en-Médoc;67
164;Gajac;69
165;Galgon;40
166;Gans;65
167;Gardegan-et-Tourtirac;60
168;Gauriac;45
169;Gauriaguet;32
170;Générac;56
171;Génissac;35
172;Gensac;68
173;Gironde-sur-Dropt;63
174;Giscos;89
175;Gornac;56
176;Goualade;83
177;Gours;69
178;Gradignan;10
179;Grayan-et-l'Hôpital;85
180;Grézillac;42
181;Grignols;75
182;Guillac;35
183;Guillos;42
184;Guîtres;54
185;Gujan-Mestras;56
186;Haux;27
187;Hostens;49
188;Hourtin;61
189;Hure;74
190;Illats;39
191;Isle-Saint-Georges;24
192;Izon;26
193;Jau-Dignac-et-Loirac;81
194;Jugazan;40
195;Juillac;64
196;La Brède;25
197;La Lande-de-Fronsac;29
198;La Réole;78
199;La Rivière;36
200;La Roquille;80
201;La Sauve;29
202;La Teste-de-Buch;60
203;Labarde;27
204;Labescau;59
205;Lacanau;56
206;Ladaux;41
207;Lados;54
208;Lagorce;54
209;Lalande-de-Pomerol   ;39
210;Lamarque;36
211;Lamothe-Landerron  ;79
212;Landerrouat;70
213;Landerrouet-sur-Ségur   ;60
214;Landiras;42
215;Langoiran;24
216;Langon;47
217;Lansac;36
218;Lanton;44
219;Lapouyade;43
220;Laroque;30
221;Lartigue;84
222;Laruscade;42
223;Latresne;11
224;Lavazan;70
225;Le Barp;32
226;Le Bouscat;4
227;Le Fieu;63
228;Le Haillan;9
229;Le Nizan;55
230;Le Pian-Médoc   ;58
231;Le Pian-sur-Garonne   ;52
232;Le Porge;44
233;Le Pout;25
234;Le Puy;66
235;Le Taillan-Médoc ;11
236;Le Teich;52
237;Le Temple;36
238;Le Tourne;24
239;Le Tuzan;48
240;Le Verdon-sur-Mer;98
241;Lège-Cap-Ferret;49
242;Léogeats;48
243;Léognan;14
244;Lerm-et-Musset ;73
245;Les Artigues-de-Lussac   ;43
246;Les Billaux;37
247;Les Églisottes-et-Chalaures ;60
248;Les Esseintes   ;59
249;Les Lèves-et-Thoumeyragues  ;71
250;Les Peintures;55
251;Les Salles-de-Castillon;57
252;Lesparre-Médoc ;64
253;Lestiac-sur-Garonne;27
254;Libourne;33
